timestamp,ship_grade,dock_position,destination,energyconsumption
1/5/2024 5:42,70000,mineral_1,11,74760
1/5/2024 7:55,120000,mineral_1,14,90720
1/5/2024 10:13,120000,coal,32,108928.7805
1/5/2024 14:36,120000,mineral_2,9,72480
1/5/2024 19:49,70000,mineral_2,21,45080
1/5/2024 22:58,120000,coal,20,71413.33333
1/6/2024 1:07,150000,mineral_2,21,96600
1/6/2024 3:21,70000,mineral_2,21,45080
1/6/2024 5:42,120000,coal,23,127413.3333
1/6/2024 7:55,120000,coal,23,127413.3333
1/6/2024 10:13,70000,mineral_2,6,33880
1/6/2024 14:36,150000,mineral_1,13,129000
1/6/2024 19:49,120000,mineral_1,9,118765.7143
1/6/2024 22:58,70000,mineral_2,9,42280
1/7/2024 1:07,70000,coal,23,74324.44444
1/7/2024 3:21,150000,mineral_1,12,144600
1/7/2024 5:42,70000,coal,4,63435.55556
1/7/2024 7:55,120000,coal,30,146626.3415
1/7/2024 10:13,120000,coal,2,71413.33333
1/7/2024 14:36,70000,coal,2,41657.77778
1/7/2024 19:49,120000,mineral_2,21,77280
1/7/2024 22:58,70000,coal,31,74536.91057
1/8/2024 1:07,70000,coal,32,63541.78862
1/8/2024 3:21,70000,mineral_2,22,31080
1/8/2024 5:42,120000,mineral_1,11,128160
1/8/2024 7:55,150000,coal,29,206843.9024
1/8/2024 10:13,120000,coal,29,165475.122
1/8/2024 14:36,150000,mineral_1,13,129000
1/8/2024 19:49,150000,mineral_1,21,97800
1/8/2024 22:58,120000,coal,24,146080
1/9/2024 1:07,120000,mineral_1,13,103200
1/9/2024 3:21,150000,mineral_2,6,72600
1/9/2024 5:42,120000,coal,19,90080
1/9/2024 7:55,70000,mineral_1,24,67480
1/9/2024 10:13,70000,coal,3,52546.66667
1/9/2024 14:36,150000,coal,21,112600
1/9/2024 19:49,70000,coal,19,52546.66667
1/9/2024 22:58,120000,coal,3,90080
1/10/2024 1:07,70000,coal,20,41657.77778
1/10/2024 3:21,150000,coal,32,136160.9756
1/10/2024 5:42,120000,mineral_2,21,77280
1/10/2024 7:55,150000,coal,24,182600
1/10/2024 10:13,70000,mineral_1,23,60200
1/10/2024 14:36,70000,coal,2,41657.77778
1/10/2024 19:49,150000,coal,21,112600
1/10/2024 22:58,120000,mineral_2,8,67680
1/11/2024 1:07,70000,coal,3,52546.66667
1/11/2024 3:21,120000,mineral_1,14,90720
1/11/2024 5:42,120000,coal,29,165475.122
1/11/2024 7:55,150000,mineral_2,8,84600
1/11/2024 10:13,70000,coal,24,85213.33333
1/11/2024 14:36,120000,coal,23,127413.3333
1/11/2024 19:49,120000,mineral_1,10,121851.4286
1/11/2024 22:58,70000,coal,32,63541.78862
1/12/2024 1:07,70000,coal,21,52546.66667
1/12/2024 3:21,120000,coal,22,108746.6667
1/12/2024 5:42,120000,coal,22,108746.6667
1/12/2024 7:55,150000,coal,4,135933.3333
1/12/2024 10:13,70000,coal,4,63435.55556
1/12/2024 14:36,70000,coal,32,63541.78862
1/12/2024 19:49,70000,coal,20,41657.77778
1/12/2024 22:58,120000,mineral_2,8,67680
1/13/2024 1:07,150000,coal,20,89266.66667
1/13/2024 3:21,120000,coal,23,127413.3333
1/13/2024 5:42,150000,mineral_1,13,129000
1/13/2024 7:55,70000,coal,5,74324.44444
1/13/2024 10:13,70000,mineral_1,22,52920
1/13/2024 14:36,120000,coal,3,90080
1/13/2024 19:49,70000,coal,2,41657.77778
1/13/2024 22:58,120000,mineral_2,6,58080
1/14/2024 1:07,120000,mineral_2,6,58080
1/14/2024 3:21,150000,coal,19,112600
1/14/2024 5:42,70000,mineral_1,21,45640
1/14/2024 7:55,150000,coal,21,112600
1/14/2024 10:13,70000,coal,22,63435.55556
1/14/2024 14:36,70000,mineral_2,22,31080
1/14/2024 19:49,120000,mineral_2,7,62880
1/14/2024 22:58,120000,coal,23,127413.3333
1/15/2024 1:07,150000,mineral_2,7,78600
1/15/2024 3:21,70000,coal,4,63435.55556
1/15/2024 5:42,150000,mineral_1,13,129000
1/15/2024 7:55,120000,mineral_1,21,78240
1/15/2024 10:13,120000,coal,32,108928.7805
1/15/2024 14:36,150000,mineral_2,7,78600
1/15/2024 19:49,150000,mineral_2,22,66600
1/15/2024 22:58,150000,coal,4,135933.3333
1/16/2024 1:07,120000,coal,4,108746.6667
1/16/2024 3:21,70000,coal,19,52546.66667
1/16/2024 5:42,150000,mineral_1,21,97800
1/16/2024 7:55,120000,coal,23,127413.3333
1/16/2024 10:13,150000,mineral_1,23,129000
1/16/2024 14:36,120000,mineral_1,22,90720
1/16/2024 19:49,70000,mineral_1,9,69280
1/16/2024 22:58,120000,coal,3,90080
1/17/2024 1:07,120000,coal,30,146626.3415
1/17/2024 3:21,70000,mineral_2,8,39480
1/17/2024 5:42,70000,mineral_1,24,67480
1/17/2024 7:55,120000,mineral_1,21,78240
1/17/2024 10:13,70000,coal,5,74324.44444
1/17/2024 14:36,150000,mineral_1,12,144600
1/17/2024 19:49,120000,coal,29,165475.122
1/17/2024 22:58,150000,coal,20,89266.66667
1/18/2024 1:07,120000,coal,20,71413.33333
1/18/2024 3:21,150000,mineral_2,8,84600
1/18/2024 5:42,70000,mineral_2,7,36680
1/18/2024 7:55,120000,coal,3,90080
1/18/2024 10:13,70000,coal,31,74536.91057
1/18/2024 14:36,120000,mineral_2,22,53280
1/18/2024 19:49,70000,mineral_2,6,33880
1/18/2024 22:58,150000,coal,32,136160.9756
1/19/2024 1:07,150000,coal,32,136160.9756
1/19/2024 3:21,70000,mineral_2,22,31080
1/19/2024 5:42,120000,mineral_2,7,62880
1/19/2024 7:55,120000,mineral_1,22,90720
1/19/2024 10:13,120000,coal,23,127413.3333
1/19/2024 14:36,70000,coal,19,52546.66667
1/19/2024 19:49,120000,coal,30,146626.3415
1/19/2024 22:58,120000,mineral_1,21,78240
1/20/2024 1:07,70000,coal,20,41657.77778
1/20/2024 3:21,120000,mineral_2,6,58080
1/20/2024 5:42,70000,mineral_2,6,33880
1/20/2024 7:55,120000,coal,21,90080
1/20/2024 10:13,120000,coal,24,146080
1/20/2024 14:36,120000,coal,22,108746.6667
1/20/2024 19:49,70000,coal,29,96527.15447
1/20/2024 22:58,150000,coal,29,206843.9024
1/21/2024 1:07,70000,coal,32,63541.78862
1/21/2024 3:21,120000,mineral_2,9,72480
1/21/2024 5:42,70000,coal,4,63435.55556
1/21/2024 7:55,120000,mineral_1,23,103200
1/21/2024 10:13,120000,mineral_1,10,121851.4286
1/21/2024 14:36,120000,coal,3,90080
1/21/2024 19:49,120000,mineral_2,7,62880
1/21/2024 22:58,120000,coal,32,108928.7805
1/22/2024 1:07,150000,coal,22,135933.3333
1/22/2024 3:21,120000,mineral_1,13,103200
1/22/2024 5:42,150000,mineral_2,7,78600
1/22/2024 7:55,120000,mineral_2,6,58080
1/22/2024 10:13,70000,coal,32,63541.78862
1/22/2024 14:36,120000,coal,30,146626.3415
1/22/2024 19:49,120000,mineral_1,24,115680
1/22/2024 22:58,150000,coal,2,89266.66667
1/23/2024 1:07,70000,mineral_1,21,45640
1/23/2024 3:21,70000,coal,2,41657.77778
1/23/2024 5:42,120000,coal,3,90080
1/23/2024 7:55,70000,coal,31,74536.91057
1/23/2024 10:13,70000,mineral_1,14,52920
1/23/2024 14:36,70000,mineral_2,9,42280
1/23/2024 19:49,150000,mineral_1,11,160200
1/23/2024 22:58,120000,coal,4,108746.6667
1/24/2024 1:07,120000,coal,21,90080
1/24/2024 3:21,70000,coal,24,85213.33333
1/24/2024 5:42,70000,coal,2,41657.77778
1/24/2024 7:55,150000,coal,24,182600
1/24/2024 10:13,70000,mineral_1,13,60200
1/24/2024 14:36,120000,mineral_1,9,118765.7143
1/24/2024 19:49,120000,coal,19,90080
1/24/2024 22:58,120000,coal,19,90080
1/15/2024 1:07,70000,coal,24,85213.33333
1/15/2024 3:21,70000,coal,22,63435.55556
1/15/2024 5:42,120000,mineral_1,22,90720
1/15/2024 7:55,70000,mineral_1,23,60200
1/15/2024 10:13,120000,mineral_2,21,77280
1/15/2024 14:36,120000,coal,32,108928.7805
1/15/2024 19:49,150000,coal,5,159266.6667
1/15/2024 22:58,70000,mineral_2,9,42280
1/26/2024 1:07,120000,mineral_1,23,103200
1/26/2024 3:21,120000,coal,31,127777.561
1/26/2024 5:42,70000,mineral_2,8,39480
1/26/2024 7:55,150000,coal,29,206843.9024
1/26/2024 10:13,70000,coal,21,52546.66667
1/26/2024 14:36,120000,mineral_2,22,53280
1/26/2024 19:49,70000,mineral_2,7,36680
1/26/2024 22:58,70000,mineral_2,8,39480
1/27/2024 1:07,70000,coal,29,96527.15447
1/27/2024 3:21,70000,mineral_2,21,45080
1/27/2024 5:42,120000,mineral_2,8,67680
1/27/2024 7:55,120000,mineral_2,8,67680
1/27/2024 10:13,70000,mineral_1,24,67480
1/27/2024 14:36,150000,mineral_2,22,66600
1/27/2024 19:49,120000,coal,4,108746.6667
1/27/2024 22:58,150000,mineral_2,9,90600
1/28/2024 1:07,120000,coal,24,146080
1/28/2024 3:21,70000,mineral_2,7,36680
1/28/2024 5:42,120000,mineral_2,21,77280
1/28/2024 7:55,120000,mineral_2,21,77280
1/28/2024 10:13,120000,coal,20,71413.33333
1/28/2024 14:36,70000,mineral_1,9,69280
1/28/2024 19:49,70000,coal,23,74324.44444
1/28/2024 22:58,70000,coal,31,74536.91057
1/29/2024 1:07,70000,mineral_1,11,74760
1/29/2024 3:21,120000,mineral_1,10,121851.4286
1/29/2024 5:42,120000,mineral_1,12,115680
1/29/2024 7:55,70000,mineral_1,9,69280
1/29/2024 10:13,120000,coal,24,146080
1/29/2024 14:36,120000,mineral_2,9,72480
1/29/2024 19:49,70000,mineral_1,13,60200
1/29/2024 22:58,120000,mineral_1,11,128160
1/30/2024 1:07,70000,mineral_1,11,74760
1/30/2024 3:21,150000,mineral_2,6,72600
1/30/2024 5:42,70000,coal,22,63435.55556
1/30/2024 7:55,70000,mineral_1,24,67480
1/30/2024 10:13,150000,mineral_1,24,144600
1/30/2024 14:36,120000,coal,31,127777.561
1/30/2024 19:49,70000,coal,3,52546.66667
1/30/2024 22:58,120000,mineral_2,9,72480
1/31/2024 1:07,70000,coal,20,41657.77778
1/31/2024 3:21,120000,mineral_2,21,77280
1/31/2024 5:42,120000,coal,21,90080
1/31/2024 7:55,120000,coal,31,127777.561
1/31/2024 10:13,150000,coal,4,135933.3333
1/31/2024 14:36,120000,coal,19,90080
1/31/2024 19:49,70000,coal,21,52546.66667
1/31/2024 22:58,120000,mineral_2,22,53280
2/1/2024 1:07,150000,mineral_1,22,113400
2/1/2024 3:21,120000,mineral_1,23,103200
2/1/2024 5:42,150000,coal,32,136160.9756
2/1/2024 7:55,70000,mineral_1,21,45640
2/1/2024 10:13,70000,mineral_2,22,31080
2/1/2024 14:36,120000,mineral_2,22,53280
2/1/2024 19:49,150000,coal,22,135933.3333
2/1/2024 22:58,70000,mineral_1,9,69280
2/2/2024 1:07,70000,mineral_1,9,69280
2/2/2024 3:21,70000,coal,29,96527.15447
2/2/2024 5:42,120000,mineral_1,23,103200
2/2/2024 7:55,70000,mineral_2,22,31080
2/2/2024 10:13,120000,coal,30,146626.3415
2/2/2024 14:36,120000,coal,29,165475.122
2/2/2024 19:49,150000,mineral_1,10,152314.2857
2/2/2024 22:58,70000,mineral_1,12,67480
2/3/2024 1:07,150000,coal,22,135933.3333
2/3/2024 3:21,120000,coal,30,146626.3415
2/3/2024 5:42,120000,mineral_2,9,72480
2/3/2024 7:55,150000,mineral_2,9,90600
2/3/2024 10:13,120000,mineral_2,6,58080
2/3/2024 14:36,120000,mineral_1,23,103200
2/3/2024 19:49,70000,mineral_2,7,36680
2/3/2024 22:58,150000,mineral_1,14,113400
2/4/2024 1:07,120000,coal,22,108746.6667
2/4/2024 3:21,120000,mineral_1,11,128160
2/4/2024 5:42,70000,mineral_1,12,67480
2/4/2024 7:55,70000,mineral_1,23,60200
2/4/2024 10:13,120000,mineral_1,24,115680
2/4/2024 14:36,70000,mineral_1,23,60200
2/4/2024 19:49,120000,mineral_2,22,53280
2/4/2024 22:58,120000,coal,21,90080
2/5/2024 1:07,70000,mineral_2,22,31080
2/5/2024 3:21,70000,mineral_1,21,45640
2/5/2024 5:42,120000,coal,23,127413.3333
2/5/2024 7:55,70000,coal,4,63435.55556
2/5/2024 10:13,150000,mineral_1,21,97800
2/5/2024 14:36,70000,mineral_2,21,45080
2/5/2024 19:49,120000,coal,2,71413.33333
2/5/2024 22:58,120000,mineral_1,14,90720
2/6/2024 1:07,120000,mineral_2,22,53280
2/6/2024 3:21,70000,mineral_2,9,42280
2/6/2024 5:42,150000,mineral_1,11,160200
2/6/2024 7:55,120000,mineral_2,8,67680
2/6/2024 10:13,70000,mineral_2,7,36680
2/6/2024 14:36,70000,coal,19,52546.66667
2/6/2024 19:49,70000,coal,23,74324.44444
2/6/2024 22:58,150000,coal,32,136160.9756
2/7/2024 1:07,150000,coal,19,112600
2/7/2024 3:21,120000,coal,32,108928.7805
2/7/2024 5:42,120000,coal,30,146626.3415
2/7/2024 7:55,150000,coal,21,112600
2/7/2024 10:13,70000,coal,21,52546.66667
2/7/2024 14:36,70000,coal,30,85532.03252
2/7/2024 19:49,120000,mineral_2,21,77280
2/7/2024 22:58,70000,mineral_2,7,36680
2/8/2024 1:07,70000,coal,3,52546.66667
2/8/2024 3:21,120000,mineral_2,7,62880
2/8/2024 5:42,120000,coal,2,71413.33333
2/8/2024 7:55,150000,mineral_2,6,72600
2/8/2024 10:13,120000,coal,32,108928.7805
2/8/2024 14:36,150000,coal,2,89266.66667
2/8/2024 19:49,120000,mineral_2,9,72480
2/8/2024 22:58,150000,mineral_1,22,113400
2/9/2024 1:07,120000,coal,29,165475.122
2/9/2024 3:21,120000,coal,4,108746.6667
2/9/2024 5:42,120000,mineral_1,12,115680
2/9/2024 7:55,120000,mineral_2,7,62880
2/9/2024 10:13,150000,coal,31,159721.9512
2/9/2024 14:36,120000,coal,29,165475.122
2/9/2024 19:49,70000,coal,24,85213.33333
2/9/2024 22:58,120000,coal,2,71413.33333
2/10/2024 1:07,70000,mineral_1,21,45640
2/10/2024 3:21,120000,mineral_1,10,121851.4286
2/10/2024 5:42,120000,mineral_2,21,77280
2/10/2024 7:55,70000,mineral_2,21,45080
2/10/2024 10:13,120000,coal,2,71413.33333
2/10/2024 14:36,70000,coal,20,41657.77778
2/10/2024 19:49,70000,mineral_1,24,67480
2/10/2024 22:58,150000,mineral_1,11,160200
2/11/2024 1:07,70000,coal,30,85532.03252
2/11/2024 3:21,120000,coal,5,127413.3333
2/11/2024 5:42,120000,coal,21,90080
2/11/2024 7:55,70000,coal,19,52546.66667
2/11/2024 10:13,120000,mineral_1,12,115680
2/11/2024 14:36,120000,mineral_2,7,62880
2/11/2024 19:49,150000,coal,3,112600
2/11/2024 22:58,120000,coal,2,71413.33333
2/12/2024 1:07,70000,mineral_2,21,45080
2/12/2024 3:21,120000,coal,29,165475.122
2/12/2024 5:42,70000,coal,20,41657.77778
2/12/2024 7:55,70000,coal,2,41657.77778
2/12/2024 10:13,70000,mineral_1,24,67480
2/12/2024 14:36,70000,mineral_2,8,39480
2/12/2024 19:49,70000,mineral_1,11,74760
2/12/2024 22:58,120000,coal,3,90080
2/13/2024 1:07,70000,mineral_1,11,74760
2/13/2024 3:21,70000,mineral_2,7,36680
2/13/2024 5:42,120000,coal,5,127413.3333
2/13/2024 7:55,70000,mineral_2,22,31080
2/13/2024 10:13,120000,mineral_2,9,72480
2/13/2024 14:36,120000,mineral_2,21,77280
2/13/2024 19:49,120000,coal,23,127413.3333
2/13/2024 22:58,120000,coal,5,127413.3333
2/14/2024 1:07,70000,mineral_2,22,31080
2/14/2024 3:21,70000,mineral_1,10,71080
2/14/2024 5:42,120000,mineral_2,22,53280
2/14/2024 7:55,150000,coal,20,89266.66667
2/14/2024 10:13,70000,mineral_1,14,52920
2/14/2024 14:36,120000,coal,4,108746.6667
2/14/2024 19:49,150000,mineral_1,21,97800
2/14/2024 22:58,120000,mineral_1,23,103200
2/15/2024 1:07,120000,mineral_2,6,58080
2/15/2024 3:21,120000,coal,24,146080
2/15/2024 5:42,70000,coal,24,85213.33333
2/15/2024 7:55,70000,coal,29,96527.15447
2/15/2024 10:13,70000,coal,19,52546.66667
2/15/2024 14:36,70000,mineral_2,22,31080
2/15/2024 19:49,70000,coal,30,85532.03252
2/15/2024 22:58,120000,coal,2,71413.33333
2/16/2024 1:07,70000,mineral_2,8,39480
2/16/2024 3:21,70000,coal,21,52546.66667
2/16/2024 5:42,150000,coal,22,135933.3333
2/16/2024 7:55,150000,coal,21,112600
2/16/2024 10:13,150000,coal,5,159266.6667
2/16/2024 14:36,120000,mineral_1,22,90720
2/16/2024 19:49,150000,coal,21,112600
2/16/2024 22:58,70000,coal,22,63435.55556
2/17/2024 1:07,120000,mineral_1,23,103200
2/17/2024 3:21,70000,mineral_2,8,39480
2/17/2024 5:42,120000,mineral_1,13,103200
2/17/2024 7:55,120000,coal,5,127413.3333
2/17/2024 10:13,70000,mineral_1,12,67480
2/17/2024 14:36,120000,mineral_1,22,90720
2/17/2024 19:49,70000,coal,31,74536.91057
2/17/2024 22:58,120000,mineral_2,8,67680
2/18/2024 1:07,120000,coal,24,146080
2/18/2024 3:21,150000,coal,3,112600
2/18/2024 5:42,70000,coal,30,85532.03252
2/18/2024 7:55,120000,coal,4,108746.6667
2/18/2024 10:13,150000,coal,4,135933.3333
2/18/2024 14:36,120000,mineral_1,22,90720
2/18/2024 19:49,150000,coal,2,89266.66667
2/18/2024 22:58,70000,coal,29,96527.15447
2/19/2024 1:07,120000,coal,20,71413.33333
2/19/2024 3:21,70000,coal,30,85532.03252
2/19/2024 5:42,120000,mineral_1,9,118765.7143
2/19/2024 7:55,70000,coal,20,41657.77778
2/19/2024 10:13,70000,coal,21,52546.66667
2/19/2024 14:36,120000,mineral_1,21,78240
2/19/2024 19:49,70000,coal,22,63435.55556
2/19/2024 22:58,120000,mineral_2,6,58080
2/20/2024 1:07,150000,mineral_2,21,96600
2/20/2024 3:21,70000,mineral_1,12,67480
2/20/2024 5:42,70000,coal,21,52546.66667
2/20/2024 7:55,120000,mineral_1,21,78240
2/20/2024 10:13,70000,mineral_1,22,52920
2/20/2024 14:36,70000,coal,20,41657.77778
2/20/2024 19:49,120000,mineral_2,8,67680
2/20/2024 22:58,70000,coal,32,63541.78862
2/21/2024 1:07,150000,coal,4,135933.3333
2/21/2024 3:21,150000,mineral_1,21,97800
2/21/2024 5:42,70000,mineral_1,9,69280
2/21/2024 7:55,150000,coal,4,135933.3333
2/21/2024 10:13,120000,mineral_1,24,115680
2/21/2024 14:36,70000,mineral_2,6,33880
2/21/2024 19:49,120000,coal,30,146626.3415
2/21/2024 22:58,120000,mineral_2,9,72480
2/22/2024 1:07,120000,mineral_2,22,53280
2/22/2024 3:21,70000,coal,23,74324.44444
2/22/2024 5:42,150000,coal,21,112600
2/22/2024 7:55,70000,mineral_2,21,45080
2/22/2024 10:13,70000,coal,31,74536.91057
2/22/2024 14:36,120000,coal,29,165475.122
2/22/2024 19:49,70000,coal,30,85532.03252
2/22/2024 22:58,120000,coal,29,165475.122
2/23/2024 1:07,120000,mineral_2,8,67680
2/23/2024 3:21,70000,coal,4,63435.55556
2/23/2024 5:42,70000,mineral_2,7,36680
2/23/2024 7:55,150000,coal,5,159266.6667
2/23/2024 10:13,120000,coal,3,90080
2/23/2024 14:36,120000,mineral_2,6,58080
2/23/2024 19:49,150000,coal,22,135933.3333
2/23/2024 22:58,150000,mineral_1,22,113400
2/24/2024 1:07,70000,coal,4,63435.55556
2/24/2024 3:21,150000,coal,19,112600
2/24/2024 5:42,70000,coal,20,41657.77778
2/24/2024 7:55,150000,mineral_2,22,66600
2/24/2024 10:13,70000,mineral_2,6,33880
2/24/2024 14:36,70000,mineral_2,7,36680
2/24/2024 19:49,150000,mineral_1,11,160200
2/24/2024 22:58,70000,mineral_1,9,69280
2/15/2024 1:07,150000,coal,20,89266.66667
2/15/2024 3:21,120000,mineral_1,21,78240
2/15/2024 5:42,150000,mineral_1,12,144600
2/15/2024 7:55,70000,mineral_2,8,39480
2/15/2024 10:13,70000,coal,31,74536.91057
2/15/2024 14:36,120000,mineral_2,22,53280
2/15/2024 19:49,120000,mineral_2,6,58080
2/15/2024 22:58,120000,mineral_1,12,115680
2/26/2024 1:07,120000,coal,31,127777.561
2/26/2024 3:21,120000,coal,21,90080
2/26/2024 5:42,150000,mineral_1,14,113400
2/26/2024 7:55,120000,coal,23,127413.3333
2/26/2024 10:13,120000,coal,2,71413.33333
2/26/2024 14:36,120000,coal,5,127413.3333
2/26/2024 19:49,120000,coal,19,90080
2/26/2024 22:58,120000,coal,30,146626.3415
2/27/2024 1:07,70000,mineral_2,8,39480
2/27/2024 3:21,70000,mineral_2,21,45080
2/27/2024 5:42,120000,mineral_1,23,103200
2/27/2024 7:55,70000,mineral_1,23,60200
2/27/2024 10:13,70000,mineral_2,9,42280
2/27/2024 14:36,120000,coal,20,71413.33333
2/27/2024 19:49,70000,mineral_2,8,39480
